,Stemness,,,,
TCGA-C8-A27A,0.179234177,,,,
TCGA-AR-A0TW,0.031719402,,,,
TCGA-A1-A0SH,-0.112872868,,,,
TCGA-A2-A0EW,-0.199376942,,,,
TCGA-GM-A2DN,-0.141189627,,,,
TCGA-BH-A1FL,-0.093753433,,,,
TCGA-C8-A1HO,-0.085985986,,,,
TCGA-OL-A5RX,-0.503889034,,,,
TCGA-A8-A09T,-0.296693725,,,,
TCGA-AR-A24Z,0.226076446,,,,
TCGA-A7-A26I,-0.352679034,,,,
TCGA-AC-A5XU,-0.243978543,,,,
TCGA-BH-A1FN,0.300155883,,,,
TCGA-C8-A12K,0.360174627,,,,
TCGA-D8-A1XW,0.144058302,,,,
TCGA-E2-A14Z,0.202672333,,,,
TCGA-AN-A0AT,0.358528042,,,,
TCGA-3C-AALI,-0.397205628,,,,
TCGA-AC-A3HN,-0.133440589,,,,
TCGA-AR-A1AW,0.06327444,,,,
TCGA-B6-A3ZX,-0.023148714,,,,
TCGA-LL-A740,-0.18087007,,,,
TCGA-E9-A1NC,-0.008126998,,,,
TCGA-OL-A5D6,-0.410753103,,,,
TCGA-C8-A1HG,0.018625112,,,,
TCGA-BH-A0B0,-0.20157627,,,,
TCGA-E2-A15M,0.498273547,,,,
TCGA-AO-A0J7,-0.111560212,,,,
TCGA-AR-A252,0.268118979,,,,
TCGA-E2-A15I,-0.31881844,,,,
TCGA-AR-A0TX,0.037974564,,,,
TCGA-A7-A3IZ,-0.218533724,,,,
TCGA-B6-A0X4,-0.434219145,,,,
TCGA-E9-A1N5,-0.347326411,,,,
TCGA-AR-A2LM,-0.227097641,,,,
TCGA-AR-A1AU,-0.313903776,,,,
TCGA-E2-A156,-0.375957906,,,,
TCGA-B6-A0WT,-0.188964666,,,,
TCGA-D8-A1J9,0.239015135,,,,
TCGA-E2-A1B0,0.423417635,,,,
TCGA-AC-A2QH,0.326233647,,,,
TCGA-AR-A5QQ,0.221479097,,,,
TCGA-BH-A28O,-0.462979883,,,,
TCGA-D8-A27N,0.047816057,,,,
TCGA-B6-A0I9,-0.104465883,,,,
TCGA-A2-A04R,-0.169189677,,,,
TCGA-C8-A27B,0.424338363,,,,
TCGA-BH-A0BJ,-0.17057923,,,,
TCGA-AR-A1AS,-0.177972936,,,,
TCGA-E9-A22B,0.201808139,,,,
TCGA-A1-A0SK,0.150975793,,,,
TCGA-AR-A24M,0.16178147,,,,
TCGA-BH-A201,0.104311447,,,,
TCGA-OL-A66H,-0.188691314,,,,
TCGA-D8-A1XO,0.067597705,,,,
TCGA-AR-A1AR,0.52109695,,,,
TCGA-AO-A0J2,0.26499855,,,,
TCGA-E2-A1IL,-0.345401634,,,,
TCGA-C8-A135,0.13563014,,,,
TCGA-A2-A0CZ,-0.345266641,,,,
TCGA-BH-A1EX,-0.014987371,,,,
TCGA-D8-A1X5,-0.167708848,,,,
TCGA-D8-A4Z1,-0.495285944,,,,
TCGA-D8-A1JG,0.267808726,,,,
TCGA-OL-A5DA,-0.408414184,,,,
TCGA-EW-A1P7,-0.150854777,,,,
TCGA-A2-A259,-0.18255609,,,,
TCGA-A7-A4SE,0.019863425,,,,
TCGA-BH-A2L8,-0.063123846,,,,
TCGA-A8-A06U,0.046313068,,,,
TCGA-BH-A0BW,0.261072495,,,,
TCGA-BH-A0EI,-0.14150411,,,,
TCGA-D8-A1JE,0.344295846,,,,
TCGA-A8-A08J,-0.119488217,,,,
TCGA-AO-A03L,0.248011404,,,,
TCGA-D8-A1Y0,0.325037357,,,,
TCGA-AR-A1AY,0.237894114,,,,
TCGA-A8-A09N,0.006109898,,,,
TCGA-E9-A1N3,-0.183443823,,,,
TCGA-A1-A0SE,-0.111070798,,,,
TCGA-S3-AA0Z,0.115220903,,,,
TCGA-E2-A109,0.063001375,,,,
TCGA-A2-A0T1,0.059980856,,,,
TCGA-D8-A1X7,0.116336681,,,,
TCGA-AN-A0XO,-0.122690453,,,,
TCGA-A2-A0SU,-0.123960506,,,,
