,Tumor purity
TCGA-3C-AAAU,0.7886
TCGA-3C-AALI,0.6974
TCGA-3C-AALJ,0.7666
TCGA-3C-AALK,0.6869
TCGA-4H-AAAK,0.649
TCGA-5L-AAT0,0.6501
TCGA-5L-AAT1,0.5553
TCGA-5T-A9QA,0.8368
TCGA-A1-A0SB,0.9328
TCGA-A1-A0SD,0.6906
TCGA-A1-A0SE,0.7979
TCGA-A1-A0SF,0.7237
TCGA-A1-A0SG,0.7569
TCGA-A1-A0SH,0.6574
TCGA-A1-A0SI,0.6438
TCGA-A1-A0SJ,0.7984
TCGA-A1-A0SK,0.9288
TCGA-A1-A0SM,0.7903
TCGA-A1-A0SN,0.6915
TCGA-A1-A0SO,0.9325
TCGA-A1-A0SP,0.6913
TCGA-A1-A0SQ,0.8417
TCGA-A2-A04N,0.717
TCGA-A2-A04Q,0.3242
TCGA-A2-A04R,0.9501
TCGA-A2-A04T,0.7466
TCGA-A2-A04V,0.8341
TCGA-A2-A04W,0.7309
TCGA-A2-A04X,0.7223
TCGA-A2-A0CL,0.3716
TCGA-A2-A0CM,0.5497
TCGA-A2-A0CO,0.7228
TCGA-A2-A0CP,0.6409
TCGA-A2-A0CS,0.7057
TCGA-A2-A0CT,1.0
TCGA-A2-A0CU,0.7034
TCGA-A2-A0CV,0.625
TCGA-A2-A0CW,0.8349
TCGA-A2-A0CX,0.5922
TCGA-A2-A0CZ,0.7413
TCGA-A2-A0D0,0.8171
TCGA-A2-A0D1,0.898
TCGA-A2-A0D2,0.712
TCGA-A2-A0D3,0.8266
TCGA-A2-A0D4,0.8456
TCGA-A2-A0EM,0.7913
TCGA-A2-A0EN,0.5883
TCGA-A2-A0EO,0.6086
TCGA-A2-A0EP,0.3512
TCGA-A2-A0EQ,0.5025
TCGA-A2-A0ER,0.8351
TCGA-A2-A0ES,0.7674
TCGA-A2-A0ET,0.861
TCGA-A2-A0EU,0.84
TCGA-A2-A0EV,0.5945
TCGA-A2-A0EW,0.5991
TCGA-A2-A0EX,0.6738
TCGA-A2-A0EY,0.7092
TCGA-A2-A0ST,0.3132
TCGA-A2-A0SU,0.7712
TCGA-A2-A0SV,0.6729
TCGA-A2-A0SW,0.6421
TCGA-A2-A0SX,0.6626
TCGA-A2-A0SY,0.8188
TCGA-A2-A0T0,0.7259
TCGA-A2-A0T1,0.4113
TCGA-A2-A0T2,0.8631
TCGA-A2-A0T3,0.7466
TCGA-A2-A0T4,0.6972
TCGA-A2-A0T5,0.7658
TCGA-A2-A0T6,0.7257
TCGA-A2-A0T7,0.7923
TCGA-A2-A0YC,0.8188
TCGA-A2-A0YD,0.7142
TCGA-A2-A0YE,0.8224
TCGA-A2-A0YF,0.8519
TCGA-A2-A0YG,0.7976
TCGA-A2-A0YH,0.6068
TCGA-A2-A0YI,0.6682
TCGA-A2-A0YJ,0.726
TCGA-A2-A0YK,0.5516
TCGA-A2-A0YL,0.7032
TCGA-A2-A0YM,0.7266
TCGA-A2-A0YT,0.7817
TCGA-A2-A1FV,0.9309
TCGA-A2-A1FW,0.8923
TCGA-A2-A1FX,0.8364
TCGA-A2-A1FZ,0.7087
TCGA-A2-A1G0,0.7088
TCGA-A2-A1G1,0.5685
TCGA-A2-A1G4,0.8879
TCGA-A2-A1G6,0.7913
TCGA-A2-A259,0.6159
TCGA-A2-A25A,0.595
TCGA-A2-A25B,0.8657
TCGA-A2-A25C,0.7454
TCGA-A2-A25D,0.6756
TCGA-A2-A25E,0.8077
TCGA-A2-A25F,0.2489
TCGA-A2-A3KC,0.7365
TCGA-A2-A3KD,0.8248
TCGA-A2-A3XS,0.7855
TCGA-A2-A3XT,0.6632
TCGA-A2-A3XW,0.6063
TCGA-A2-A3XX,0.7868
TCGA-A2-A3XY,0.5595
TCGA-A2-A3XZ,0.6138
TCGA-A2-A3Y0,0.7326
TCGA-A2-A4RW,0.7072
TCGA-A2-A4RX,0.6782
TCGA-A2-A4RY,0.7913
TCGA-A2-A4S0,0.883
TCGA-A2-A4S2,0.7401
TCGA-A2-A4S3,0.6935
TCGA-A7-A0CD,0.8525
TCGA-A7-A0CE,0.8551
TCGA-A7-A0CG,0.5327
TCGA-A7-A0CH,0.7978
TCGA-A7-A0CJ,0.8785
TCGA-A7-A0D9,0.8921
TCGA-A7-A0DA,0.7466
TCGA-A7-A0DB,0.6494
TCGA-A7-A13D,0.8612
TCGA-A7-A13E,0.9184
TCGA-A7-A13F,0.7915
TCGA-A7-A13G,0.9357
TCGA-A7-A13H,0.671
TCGA-A7-A26E,0.7913
TCGA-A7-A26F,0.6312
TCGA-A7-A26G,0.5182
TCGA-A7-A26H,0.7811
TCGA-A7-A26I,0.7381
TCGA-A7-A26J,0.7009
TCGA-A7-A2KD,0.6932
TCGA-A7-A3IY,0.614
TCGA-A7-A3IZ,0.9059
TCGA-A7-A3J0,0.8681
TCGA-A7-A3J1,0.6485
TCGA-A7-A3RF,0.8802
TCGA-A7-A425,0.8133
TCGA-A7-A426,0.7037
TCGA-A7-A4SA,0.7065
TCGA-A7-A4SB,0.846
TCGA-A7-A4SC,0.7975
TCGA-A7-A4SD,0.4889
TCGA-A7-A4SE,0.7913
TCGA-A7-A4SF,0.7498
TCGA-A7-A5ZV,0.8146
TCGA-A7-A5ZW,0.7466
TCGA-A7-A5ZX,0.836
TCGA-A7-A6VV,0.6841
TCGA-A7-A6VX,0.7913
TCGA-A7-A6VY,0.5982
TCGA-A8-A06N,0.9499
TCGA-A8-A06O,0.7379
TCGA-A8-A06P,0.6135
TCGA-A8-A06Q,0.912
TCGA-A8-A06R,0.6126
TCGA-A8-A06T,0.7562
TCGA-A8-A06U,0.7982
TCGA-A8-A06X,0.7535
TCGA-A8-A06Y,0.8864
TCGA-A8-A06Z,0.8996
TCGA-A8-A075,0.6706
TCGA-A8-A076,0.7129
TCGA-A8-A079,0.8402
TCGA-A8-A07B,0.7587
TCGA-A8-A07C,0.7396
TCGA-A8-A07E,0.656
TCGA-A8-A07F,0.7302
TCGA-A8-A07G,0.6288
TCGA-A8-A07I,0.836
TCGA-A8-A07J,0.6573
TCGA-A8-A07L,0.8472
TCGA-A8-A07O,0.7915
TCGA-A8-A07P,0.733
TCGA-A8-A07R,0.893
TCGA-A8-A07S,0.8806
TCGA-A8-A07U,0.4026
TCGA-A8-A07W,0.7274
TCGA-A8-A07Z,0.8806
TCGA-A8-A081,0.7511
TCGA-A8-A082,0.7587
TCGA-A8-A083,0.893
TCGA-A8-A084,0.8224
TCGA-A8-A085,0.8605
TCGA-A8-A086,0.724
TCGA-A8-A08A,0.6746
TCGA-A8-A08B,0.7913
TCGA-A8-A08C,0.8423
TCGA-A8-A08F,0.7413
TCGA-A8-A08G,0.7383
TCGA-A8-A08H,0.3776
TCGA-A8-A08I,0.7019
TCGA-A8-A08J,0.7508
TCGA-A8-A08L,0.7132
TCGA-A8-A08O,0.8251
TCGA-A8-A08P,0.6126
TCGA-A8-A08R,0.6015
TCGA-A8-A08S,0.8646
TCGA-A8-A08T,0.7913
TCGA-A8-A08X,0.5296
TCGA-A8-A08Z,0.7508
TCGA-A8-A090,0.7223
TCGA-A8-A091,0.7984
TCGA-A8-A092,0.7971
TCGA-A8-A093,0.7953
TCGA-A8-A094,0.5718
TCGA-A8-A095,0.7011
TCGA-A8-A096,0.6573
TCGA-A8-A097,0.6655
TCGA-A8-A099,0.7718
TCGA-A8-A09A,0.6764
TCGA-A8-A09B,0.7784
TCGA-A8-A09C,0.8515
TCGA-A8-A09D,0.7034
TCGA-A8-A09E,0.8806
TCGA-A8-A09G,0.7041
TCGA-A8-A09I,0.7318
TCGA-A8-A09K,0.8836
TCGA-A8-A09M,0.836
TCGA-A8-A09N,0.7806
TCGA-A8-A09Q,0.5457
TCGA-A8-A09R,0.656
TCGA-A8-A09T,0.744
TCGA-A8-A09V,0.787
TCGA-A8-A09W,0.7019
TCGA-A8-A09X,0.474
TCGA-A8-A09Z,0.7913
TCGA-A8-A0A1,0.6573
TCGA-A8-A0A2,0.769
TCGA-A8-A0A4,0.787
TCGA-A8-A0A6,0.6691
TCGA-A8-A0A7,0.3716
TCGA-A8-A0A9,0.7913
TCGA-A8-A0AB,0.9078
TCGA-A8-A0AD,0.7413
TCGA-AC-A23C,0.6347
TCGA-AC-A23E,0.5792
TCGA-AC-A23G,0.5808
TCGA-AC-A23H,0.8197
TCGA-AC-A2B8,0.6892
TCGA-AC-A2BK,0.9767
TCGA-AC-A2BM,0.727
TCGA-AC-A2FB,0.4436
TCGA-AC-A2FE,0.5379
TCGA-AC-A2FF,0.6667
TCGA-AC-A2FG,0.7895
TCGA-AC-A2FK,0.8222
TCGA-AC-A2FM,0.8989
TCGA-AC-A2FO,0.5956
TCGA-AC-A2QH,0.7951
TCGA-AC-A2QI,0.7098
TCGA-AC-A3BB,0.5299
TCGA-AC-A3EH,0.8033
TCGA-AC-A3HN,0.6751
TCGA-AC-A3OD,0.6141
TCGA-AC-A3QQ,0.7771
TCGA-AC-A3W5,0.6823
TCGA-AC-A3W6,0.5696
TCGA-AC-A3W7,0.7726
TCGA-AC-A3YI,0.607
