,Proliferation,,,,,,,,
TCGA-55-7816,-0.372123468,,,,,,,,
TCGA-55-7911,0.077080349,,,,,,,,
TCGA-73-4676,0.059528053,,,,,,,,
TCGA-49-6745,0.060120265,,,,,,,,
TCGA-05-5425,-0.065758178,,,,,,,,
TCGA-86-7955,0.141878798,,,,,,,,
TCGA-78-7167,-0.280338463,,,,,,,,
TCGA-L9-A7SV,0.059241756,,,,,,,,
TCGA-78-7154,0.105149426,,,,,,,,
TCGA-78-7158,-0.012936761,,,,,,,,
TCGA-44-4112,-0.11248172,,,,,,,,
TCGA-44-7659,-0.457323007,,,,,,,,
TCGA-80-5611,0.072741981,,,,,,,,
TCGA-55-8205,0.187005357,,,,,,,,
TCGA-44-6146,-0.25752373,,,,,,,,
TCGA-05-4397,0.178446432,,,,,,,,
TCGA-99-8033,0.123466552,,,,,,,,
TCGA-49-AAR9,0.053027347,,,,,,,,
TCGA-55-7727,-0.197082538,,,,,,,,
TCGA-55-7913,0.121099152,,,,,,,,
TCGA-67-3774,-0.418627765,,,,,,,,
TCGA-55-6970,0.134179162,,,,,,,,
TCGA-86-6562,-0.185152863,,,,,,,,
TCGA-55-8621,-0.484086276,,,,,,,,
TCGA-95-7947,0.103419636,,,,,,,,
TCGA-55-8208,-0.225610978,,,,,,,,
TCGA-73-4670,0.180978191,,,,,,,,
TCGA-86-8281,-0.310177642,,,,,,,,
TCGA-69-7979,0.117987888,,,,,,,,
TCGA-62-A46U,0.019682157,,,,,,,,
TCGA-05-4403,-0.232170561,,,,,,,,
TCGA-64-1679,0.030779546,,,,,,,,
TCGA-55-8507,-0.123103087,,,,,,,,
TCGA-05-4382,-0.031287675,,,,,,,,
TCGA-50-5930,-0.426846289,,,,,,,,
TCGA-78-7143,0.027696528,,,,,,,,
TCGA-86-7713,0.174868904,,,,,,,,
TCGA-91-6849,-0.532742146,,,,,,,,
TCGA-86-8278,-0.098332741,,,,,,,,
TCGA-86-8359,-0.364012671,,,,,,,,
TCGA-78-7536,0.215663726,,,,,,,,
TCGA-55-8614,-0.204923705,,,,,,,,
TCGA-64-5781,-0.103796436,,,,,,,,
TCGA-J2-8192,-0.311974138,,,,,,,,
TCGA-62-8394,0.015734738,,,,,,,,
TCGA-55-7283,-0.150926706,,,,,,,,
TCGA-97-7553,-0.158529672,,,,,,,,
TCGA-05-5429,-0.16526555,,,,,,,,
TCGA-05-4395,0.146333101,,,,,,,,
TCGA-86-8669,-0.354955569,,,,,,,,
TCGA-64-5815,-0.384090022,,,,,,,,
TCGA-05-4389,-0.017844334,,,,,,,,
TCGA-97-8179,-0.01832197,,,,,,,,
TCGA-55-8510,-0.381674783,,,,,,,,
TCGA-50-5068,-0.335268277,,,,,,,,
TCGA-86-8672,-0.133786809,,,,,,,,
TCGA-05-4396,-0.310235267,,,,,,,,
TCGA-71-6725,-0.009521918,,,,,,,,
TCGA-38-4625,-0.512952162,,,,,,,,
TCGA-64-5775,0.137382232,,,,,,,,
TCGA-55-6986,-0.42270166,,,,,,,,
TCGA-69-8453,-0.321029032,,,,,,,,
TCGA-97-8552,-0.521574753,,,,,,,,
TCGA-91-6847,0.179856785,,,,,,,,
TCGA-93-A4JP,-0.253654238,,,,,,,,
TCGA-49-4486,-0.219600604,,,,,,,,
TCGA-71-8520,-0.215435761,,,,,,,,
TCGA-69-7760,-0.019484916,,,,,,,,
TCGA-35-4122,-0.12379874,,,,,,,,
TCGA-49-4505,-0.322668433,,,,,,,,
TCGA-78-7146,0.156384763,,,,,,,,
TCGA-97-8174,-0.308007084,,,,,,,,
TCGA-93-A4JQ,-0.21071761,,,,,,,,
TCGA-NJ-A4YQ,-0.28464754,,,,,,,,
TCGA-44-2656,0.115609946,,,,,,,,
TCGA-44-A47B,-0.029905484,,,,,,,,
TCGA-L9-A8F4,-0.012094453,,,,,,,,
TCGA-55-8302,-0.120145429,,,,,,,,
TCGA-55-8094,-0.038177837,,,,,,,,
TCGA-44-7671,-0.165402317,,,,,,,,
TCGA-86-8585,-0.172554415,,,,,,,,
TCGA-NJ-A55R,-0.153976683,,,,,,,,
TCGA-55-7903,0.085044022,,,,,,,,
TCGA-78-7542,0.223468117,,,,,,,,
TCGA-05-4432,0.046718654,,,,,,,,
TCGA-44-8117,0.118221031,,,,,,,,
TCGA-55-6972,-0.371454091,,,,,,,,
TCGA-78-8648,-0.345631919,,,,,,,,
TCGA-67-3771,-0.288307545,,,,,,,,
TCGA-55-8512,-0.460581411,,,,,,,,
TCGA-44-5645,-0.290452632,,,,,,,,
TCGA-75-6203,-0.508330464,,,,,,,,
TCGA-86-8075,0.118880711,,,,,,,,
TCGA-78-7148,-0.020712416,,,,,,,,
TCGA-MP-A4TA,0.060988267,,,,,,,,
TCGA-44-5644,-0.132021527,,,,,,,,
TCGA-50-5051,-0.243144998,,,,,,,,
TCGA-49-6744,-0.379498374,,,,,,,,
TCGA-50-6595,-0.017703977,,,,,,,,
TCGA-L9-A50W,-0.363953438,,,,,,,,
TCGA-55-8616,-0.329845315,,,,,,,,
TCGA-NJ-A4YG,-0.421122301,,,,,,,,
TCGA-97-7547,-0.387188185,,,,,,,,
TCGA-95-A4VN,0.101843814,,,,,,,,
TCGA-75-7027,0.195982919,,,,,,,,
TCGA-NJ-A55O,-0.42573101,,,,,,,,
TCGA-05-4410,-0.351557175,,,,,,,,
TCGA-55-A490,0.014625296,,,,,,,,
TCGA-49-6743,0.021553932,,,,,,,,
TCGA-50-8459,-0.465453598,,,,,,,,
TCGA-75-5125,0.080088703,,,,,,,,
TCGA-50-8457,-0.402122861,,,,,,,,
TCGA-05-4390,-0.025440336,,,,,,,,
TCGA-05-4405,-0.416663605,,,,,,,,
TCGA-55-6985,-0.309191557,,,,,,,,
TCGA-91-8497,-0.556481318,,,,,,,,
TCGA-55-7907,-0.327337248,,,,,,,,
TCGA-55-8087,-0.339589269,,,,,,,,
TCGA-55-5899,0.030564016,,,,,,,,
TCGA-50-5942,-0.446121685,,,,,,,,
TCGA-44-6777,-0.35381013,,,,,,,,
