,Proliferation
TCGA-34-5236,0.099748109
TCGA-79-5596,0.008138533
TCGA-22-5474,-0.024185893
TCGA-66-2781,-0.15132364
TCGA-NK-A5CX,-0.377325003
TCGA-63-A5MU,-0.024286012
TCGA-66-2754,0.100851438
TCGA-18-3421,-0.17836401
TCGA-37-4135,-0.027805424
TCGA-43-6647,-0.378364723
TCGA-34-8456,-0.373886373
TCGA-22-1012,-0.083773302
TCGA-39-5016,0.015130301
TCGA-22-4596,-0.458486154
TCGA-85-6175,-0.370674769
TCGA-77-8145,-0.450505982
TCGA-56-8503,-0.4071252
TCGA-58-8391,-0.069112831
TCGA-85-8584,-0.26776322
TCGA-39-5028,-0.450833198
TCGA-60-2703,-0.200106135
TCGA-85-7950,-0.152506183
TCGA-66-2737,-0.237195453
TCGA-O2-A52W,-0.015441528
TCGA-NC-A5HR,-0.026983853
TCGA-85-7843,0.161593473
TCGA-85-8351,-0.043202507
TCGA-63-5128,-0.132983166
TCGA-77-8140,-0.367890427
TCGA-43-6771,-0.031437037
TCGA-37-4129,-0.403649255
TCGA-21-1083,0.096866839
TCGA-85-7699,0.193599531
TCGA-58-8386,-0.27096586
TCGA-85-8277,0.03133447
TCGA-18-5592,0.095739486
TCGA-98-A53I,-0.145186608
TCGA-18-3417,-0.443381958
TCGA-77-8130,-0.449784636
TCGA-66-2734,-0.001475095
TCGA-85-8288,0.038866997
TCGA-18-3412,-0.013983446
TCGA-66-2780,-0.192974144
TCGA-21-1076,-0.343523357
TCGA-43-6143,0.200207502
TCGA-77-7139,0.085920798
TCGA-63-A5MB,-0.062686626
TCGA-77-7141,0.016087205
TCGA-37-4130,-0.1938551
TCGA-70-6722,0.13971639
TCGA-85-A4PA,-0.182495103
TCGA-18-4083,0.05746993
TCGA-98-A53C,-0.491509934
TCGA-33-4586,0.053503069
TCGA-63-A5M9,0.076157958
TCGA-33-AASD,-0.068778953
TCGA-66-2771,-0.327746715
TCGA-77-8144,0.111028019
TCGA-18-3410,0.049627532
TCGA-56-A4ZK,-0.164672901
TCGA-NC-A5HN,0.104888838
TCGA-77-8008,-0.414167089
TCGA-85-7697,0.00356131
TCGA-70-6723,0.194979715
TCGA-66-2767,-0.307690356
TCGA-33-4583,-0.199678049
TCGA-22-4604,-0.093526314
TCGA-85-A4JC,-0.466420705
TCGA-63-A5ML,-0.162670425
TCGA-NC-A5HL,-0.101573874
TCGA-63-7021,-0.410847261
TCGA-77-8146,-0.436690444
TCGA-66-2773,-0.1913016
TCGA-NC-A5HM,-0.163582321
TCGA-22-1002,-0.387063968
TCGA-94-A5I6,-0.045947355
TCGA-37-4133,-0.116480505
TCGA-90-6837,-0.271593419
TCGA-94-8490,-0.071602935
TCGA-90-7964,-0.261840825
TCGA-60-2704,-0.269505454
TCGA-21-1080,0.041876862
TCGA-56-8628,-0.504185572
TCGA-96-8169,-0.395323915
TCGA-43-A475,-0.134804085
TCGA-63-A5MY,-0.016794003
TCGA-56-8622,-0.526399256
TCGA-34-5928,-0.051567862
TCGA-98-A538,0.131049184
TCGA-98-A53D,-0.494639225
TCGA-77-7338,-0.264835853
TCGA-63-5131,-0.204302244
TCGA-63-A5MI,-0.014394575
TCGA-33-4582,0.021941325
TCGA-85-8287,-0.338552742
TCGA-85-A50M,-0.240817447
TCGA-34-2596,-0.086163786
TCGA-85-7696,0.042470251
TCGA-18-3419,-0.069810638
TCGA-37-4132,-0.022143851
TCGA-21-5787,0.026773148
TCGA-90-7769,0.029178915
TCGA-77-8136,-0.303584783
TCGA-18-3406,-0.411529264
TCGA-58-A46M,0.033968331
TCGA-77-A5G6,0.01587646
TCGA-21-1072,0.154706397
TCGA-22-5477,0.161052601
TCGA-63-A5MN,-0.425361768
TCGA-58-A46K,-0.311840202
TCGA-85-A510,0.006966412
TCGA-34-2600,-0.292976697
TCGA-85-8353,-0.215838191
TCGA-77-8131,-0.48909337
TCGA-98-8022,-0.47076992
TCGA-68-7755,0.108311458
TCGA-34-8455,-0.225321744
TCGA-98-8020,-0.306480523
TCGA-66-2794,-0.039445983
TCGA-56-8305,-0.336423449
TCGA-43-8115,-0.325361185
TCGA-77-8139,-0.072930698
TCGA-52-7809,0.038791715
TCGA-33-6738,-0.262283585
TCGA-85-8354,0.067548516
TCGA-66-2742,-0.183517809
TCGA-34-5929,0.173756574
TCGA-60-2722,0.08565452
TCGA-22-5482,-0.0013954
TCGA-39-5031,-0.256858459
TCGA-33-4532,0.080008043
TCGA-60-2725,-0.274947325
TCGA-85-8666,0.044592997
TCGA-92-8064,-0.248991085
TCGA-MF-A522,0.075602049
TCGA-37-A5EM,-0.018358706
TCGA-63-7022,-0.501497623
TCGA-60-2698,-0.215071777
TCGA-39-5011,-0.140783743
TCGA-68-8251,0.051568077
TCGA-21-A5DI,-0.29499553
TCGA-96-A4JK,-0.053504894
TCGA-XC-AA0X,-0.464491212
TCGA-60-2719,0.095963759
TCGA-21-1081,0.136957132
TCGA-22-4613,-0.331372776
TCGA-NC-A5HF,-0.290111436
TCGA-63-A5MH,-0.009377286
TCGA-56-5897,-0.16215418
TCGA-18-3414,-0.152784443
TCGA-77-8148,-0.17005479
TCGA-21-1079,-0.150402899
TCGA-66-2789,-0.334431213
TCGA-66-2782,-0.137874201
TCGA-85-A50Z,-0.146050472
TCGA-33-4566,-0.255653103
TCGA-18-3408,-0.298202885
TCGA-43-A56U,-0.477212839
TCGA-77-A5GH,-0.396482491
TCGA-18-3416,-0.013471046
TCGA-66-2788,-0.317361824
TCGA-56-8625,-0.306245712
TCGA-60-2697,-0.421654549
TCGA-68-7757,-0.514004173
TCGA-66-2791,-0.182000696
TCGA-46-3768,0.153134066
TCGA-39-5019,0.091896965
TCGA-NC-A5HJ,-0.202087846
TCGA-66-2770,-0.006109224
TCGA-94-A4VJ,-0.251408169
TCGA-66-2783,-0.154225416
TCGA-NC-A5HI,0.032131744
TCGA-85-7710,0.058279217
TCGA-96-7544,-0.037750953
TCGA-85-8479,-0.086834163
TCGA-56-7221,0.030197377
TCGA-63-A5MG,-0.44727104
TCGA-77-7142,0.019272732
TCGA-33-AASI,-0.150448207
TCGA-77-A5G8,-0.394753143
TCGA-98-A53J,-0.40709546
TCGA-34-5239,0.143917302
TCGA-77-A5GA,-0.30553252
TCGA-56-8624,-0.474517837
TCGA-56-5898,-0.45500886
TCGA-39-5039,-0.508486873
TCGA-77-8007,0.067270993
TCGA-90-7766,0.065325229
TCGA-37-4141,0.023159581
TCGA-18-4086,0.043331551
TCGA-63-A5MR,-0.086020379
TCGA-56-8304,-0.072371838
TCGA-77-8143,0.081291693
TCGA-34-5927,0.146188949
TCGA-68-A59J,-0.152814277
TCGA-22-5485,0.132421943
TCGA-33-A4WN,-0.047395471
TCGA-22-4595,0.024786729
TCGA-85-8048,-0.415344933
TCGA-85-8355,-0.408437475
TCGA-92-8063,-0.290365231
TCGA-60-2708,-0.320855294
TCGA-56-8308,-0.409301499
TCGA-66-2753,0.062727796
TCGA-60-2695,0.165190508
TCGA-34-2608,-0.499979571
TCGA-66-2755,0.078575332
TCGA-39-5024,0.043820778
TCGA-21-5782,-0.460363815
TCGA-43-A56V,-0.243974578
TCGA-98-8021,-0.486435872
TCGA-46-6026,0.041071581
TCGA-21-1070,-0.163107415
TCGA-77-8133,-0.220784025
TCGA-56-7822,-0.426892506
TCGA-77-8156,-0.321491697
TCGA-33-4533,-0.081903718
TCGA-77-A5FZ,-0.514378108
TCGA-56-A49D,-0.119161732
TCGA-46-3766,-0.520843911
TCGA-60-2712,-0.303274058
TCGA-21-1082,-0.099166155
TCGA-77-A5G3,0.055959314
TCGA-66-2787,0.061441822
TCGA-77-7337,0.070006999
TCGA-66-2790,-0.159720538
TCGA-39-5022,-0.16732544
TCGA-43-2581,-0.165958128
TCGA-63-A5MM,-0.15055303
TCGA-85-8580,-0.201346965
TCGA-NC-A5HG,0.054036049
TCGA-37-3789,-0.066129875
TCGA-66-2792,0.150536159
TCGA-NK-A5D1,-0.099684832
TCGA-60-2713,-0.096585172
TCGA-46-3765,-0.290779597
TCGA-52-7622,-0.120604175
TCGA-56-6546,0.080982962
TCGA-77-8138,-0.408602781
TCGA-O2-A5IB,0.179866092
TCGA-66-2727,0.149875176
TCGA-56-7730,0.111587203
TCGA-58-A46N,0.025881338
TCGA-O2-A52N,-0.279472472
TCGA-52-7810,-0.098026583
TCGA-77-6845,0.081323503
TCGA-85-8049,-0.460530599
TCGA-L3-A4E7,-0.403462671
TCGA-33-4589,-0.156993415
TCGA-LA-A7SW,-0.121733758
TCGA-58-A46J,-0.051937178
TCGA-NK-A5CR,-0.182376823
TCGA-92-8065,-0.431514402
TCGA-22-4594,-0.328280187
TCGA-43-7657,-0.216592479
TCGA-85-8481,-0.401992052
TCGA-21-5783,0.098686575
TCGA-85-8352,0.050848186
TCGA-85-8072,-0.242908878
TCGA-NC-A5HK,0.036206777
TCGA-37-A5EN,-0.336445435
TCGA-94-8035,-0.047381824
TCGA-96-A4JL,-0.136300306
TCGA-43-3920,-0.241966069
TCGA-46-3767,-0.48281642
TCGA-39-5030,-0.349970966
TCGA-63-A5MV,-0.454433193
TCGA-NK-A7XE,-0.244762206
TCGA-56-6545,-0.045081465
TCGA-56-7579,-0.009616788
TCGA-94-7943,-0.057420385
TCGA-34-8454,-0.059060732
TCGA-90-A4ED,-0.354450964
TCGA-51-4080,0.091337861
TCGA-63-A5MP,0.125440015
TCGA-18-3407,-0.329891727
TCGA-85-6798,-0.01672036
TCGA-92-7341,0.103252501
TCGA-39-5036,-0.193377276
TCGA-63-A5MW,-0.112382832
TCGA-34-5234,-0.424328169
TCGA-22-5491,0.052732988
TCGA-18-3409,-0.453045419
TCGA-51-4079,0.046684682
TCGA-85-8582,-0.357255456
TCGA-NC-A5HP,-0.395812529
TCGA-43-8118,-0.069547718
