,Stemness
TCGA-34-5236,0.229339192
TCGA-79-5596,-0.078132663
TCGA-22-5474,0.191424432
TCGA-66-2781,0.09061004
TCGA-NK-A5CX,-0.330637387
TCGA-63-A5MU,-0.164370666
TCGA-66-2754,0.284388239
TCGA-18-3421,0.27283124
TCGA-37-4135,0.199980061
TCGA-43-6647,-0.074732061
TCGA-34-8456,-0.333030095
TCGA-22-1012,0.234651224
TCGA-39-5016,0.324910991
TCGA-22-4596,-0.135500482
TCGA-85-6175,-0.085839508
TCGA-77-8145,-0.349125153
TCGA-56-8503,-0.085625945
TCGA-58-8391,-0.227743292
TCGA-85-8584,-0.327163653
TCGA-39-5028,-0.163721162
TCGA-60-2703,0.091383774
TCGA-85-7950,0.070549638
TCGA-66-2737,0.150622691
TCGA-O2-A52W,0.121476848
TCGA-NC-A5HR,-0.173049679
TCGA-85-7843,0.230655761
TCGA-85-8351,0.060788068
TCGA-63-5128,-0.198292468
TCGA-77-8140,-0.221526938
TCGA-43-6771,0.017992742
TCGA-37-4129,-0.360284744
TCGA-21-1083,0.221164242
TCGA-85-7699,0.385060393
TCGA-58-8386,-0.253466073
TCGA-85-8277,0.104128131
TCGA-18-5592,0.082386698
TCGA-98-A53I,-0.187230322
TCGA-18-3417,-0.161881533
TCGA-77-8130,-0.336701419
TCGA-66-2734,0.119718763
TCGA-85-8288,0.058872227
TCGA-18-3412,0.198765343
TCGA-66-2780,-0.003791192
TCGA-21-1076,-0.002651432
TCGA-43-6143,0.192207204
TCGA-77-7139,0.231982901
TCGA-63-A5MB,-0.135059885
TCGA-77-7141,-0.030774018
TCGA-37-4130,0.254396309
TCGA-70-6722,0.28003106
TCGA-85-A4PA,-0.217725372
TCGA-18-4083,0.220598944
TCGA-98-A53C,-0.330952758
TCGA-33-4586,0.038873861
TCGA-63-A5M9,0.325714593
TCGA-33-AASD,-0.28820678
TCGA-66-2771,0.228712714
TCGA-77-8144,0.242083646
TCGA-18-3410,0.259655054
TCGA-56-A4ZK,-0.125158165
TCGA-NC-A5HN,0.059136739
TCGA-77-8008,-0.22838488
TCGA-85-7697,-0.033242429
TCGA-70-6723,0.047294569
TCGA-66-2767,-0.13256663
TCGA-33-4583,0.015196317
TCGA-22-4604,0.335781203
TCGA-85-A4JC,-0.364311679
