,Tumor purity
TCGA-18-3406,0.5279
TCGA-18-3407,0.6126
TCGA-18-3408,0.7141
TCGA-18-3409,0.6749
TCGA-18-3410,0.7645
TCGA-18-3411,0.6655
TCGA-18-3412,0.9025
TCGA-18-3414,0.8835
TCGA-18-3415,0.6181
TCGA-18-3416,0.6465
TCGA-18-3417,0.6331
TCGA-18-3419,0.7034
TCGA-18-3421,0.6573
TCGA-18-4083,0.8171
TCGA-18-4086,0.6836
TCGA-18-4721,0.5327
TCGA-18-5592,0.8393
TCGA-18-5595,0.9493
TCGA-21-1070,0.6078
TCGA-21-1071,0.7243
TCGA-21-1072,0.8646
TCGA-21-1075,0.874
TCGA-21-1076,0.3107
TCGA-21-1077,0.6037
TCGA-21-1078,0.9869
TCGA-21-1079,0.7281
TCGA-21-1080,0.8744
TCGA-21-1081,0.6573
TCGA-21-1082,0.6851
TCGA-21-1083,0.7129
TCGA-21-5782,0.6888
TCGA-21-5783,0.7261
TCGA-21-5784,0.3985
TCGA-21-5786,0.7458
TCGA-21-5787,0.614
TCGA-21-A5DI,0.8983
TCGA-22-0940,0.4622
TCGA-22-0944,0.6573
TCGA-22-1000,0.2998
TCGA-22-1002,0.6123
TCGA-22-1005,0.3405
TCGA-22-1011,0.5828
TCGA-22-1012,0.6215
TCGA-22-1016,0.495
TCGA-22-1017,0.774
TCGA-22-4591,0.8583
TCGA-22-4593,0.7136
TCGA-22-4594,0.4618
TCGA-22-4595,0.8806
TCGA-22-4596,0.3332
TCGA-22-4599,0.6362
TCGA-22-4601,0.8997
TCGA-22-4604,0.6601
TCGA-22-4605,0.5712
TCGA-22-4607,0.7496
TCGA-22-4609,0.5383
TCGA-22-4613,0.6471
TCGA-22-5471,0.6566
TCGA-22-5472,0.7454
TCGA-22-5473,0.773
TCGA-22-5474,0.5739
TCGA-22-5477,0.8716
TCGA-22-5478,0.5894
TCGA-22-5479,0.5748
TCGA-22-5480,0.716
TCGA-22-5481,0.7686
TCGA-22-5482,0.7887
TCGA-22-5483,0.809
TCGA-22-5485,0.8083
TCGA-22-5489,0.5441
TCGA-22-5491,0.8394
TCGA-22-5492,0.5967
TCGA-22-A5C4,0.8168
TCGA-33-4532,0.836
TCGA-33-4533,0.8335
TCGA-33-4538,0.769
TCGA-33-4547,0.8712
TCGA-33-4566,0.6537
TCGA-33-4582,0.6796
TCGA-33-4583,0.7022
TCGA-33-4586,0.5774
TCGA-33-4587,0.9215
TCGA-33-4589,0.5074
TCGA-33-6737,0.6181
TCGA-33-6738,0.6327
