,Eigen-Gene
TCGA-A2-A25F,-5.037899613684861
TCGA-A8-A08I,-4.8285730855444795
TCGA-A2-A0EP,-4.023476376233514
TCGA-D8-A73U,-3.5889816175360543
TCGA-AO-A128,-3.568952922873256
TCGA-AR-A1AO,-3.5028491656059138
TCGA-E9-A22D,-3.440255439347661
TCGA-E9-A243,-3.343700973712383
TCGA-C8-A12K,-3.227285596780325
TCGA-A2-A04Q,-3.2247471676238515
TCGA-EW-A1PB,-2.941042673624602
TCGA-BH-A0H5,-2.9377869220715165
TCGA-AO-A0JC,-2.8727099644767784
TCGA-D8-A27M,-2.7871967927924124
TCGA-A8-A0A7,-2.776776413646829
TCGA-BH-A0B6,-2.728361214590816
TCGA-AC-A6IW,-2.7002847025377688
TCGA-A2-A0ST,-2.609770085679992
TCGA-EW-A1P4,-2.577503461199525
TCGA-BH-A1F0,-2.555983220506722
TCGA-A8-A08H,-2.5405162646041504
TCGA-LL-A440,-2.515344641109737
TCGA-E2-A108,-2.4470117185023033
TCGA-BH-A6R9,-2.369330391544892
TCGA-EW-A3U0,-2.3199868476686563
TCGA-AN-A0FN,-2.2155170882870783
TCGA-C8-A12V,-2.1878243926915464
TCGA-BH-A2L8,-2.1611116498343645
TCGA-B6-A0RT,-2.131593871305751
TCGA-BH-A0BG,-2.131134856563454
TCGA-LD-A9QF,-2.057749497892823
TCGA-D8-A1JF,-2.050193765253396
TCGA-BH-A1FB,-2.0384685940631573
TCGA-E2-A1B1,-2.002603638286513
TCGA-OL-A66I,-1.9971334593373384
TCGA-AR-A1AW,-1.984953370854257
TCGA-BH-A1EU,-1.980416377281281
TCGA-EW-A1P7,-1.944356853846793
TCGA-A2-A0EN,-1.9176954131691903
TCGA-AO-A03U,-1.9037185048676195
TCGA-A2-A0T1,-1.9002282199868152
TCGA-D8-A1Y2,-1.8997676672674095
TCGA-E9-A3QA,-1.8911369212263536
TCGA-JL-A3YW,-1.8746293660625324
TCGA-E9-A1NG,-1.8293183906169843
TCGA-A2-A25A,-1.8020723187739343
TCGA-BH-A0BF,-1.7994976881277147
TCGA-AC-A6IV,-1.7268146431636617
TCGA-B6-A0IJ,-1.7121906048390636
TCGA-AR-A1AJ,-1.711016597886853
TCGA-A2-A0CL,-1.7052729977069914
TCGA-EW-A2FR,-1.6955973192804752
TCGA-BH-A0DV,-1.679051291377963
TCGA-E2-A15M,-1.6677925793479342
TCGA-AR-A0U0,-1.6552893007961822
TCGA-A7-A26G,-1.6229689693790592
TCGA-BH-A0B0,-1.5860791695074323
TCGA-LL-A5YO,-1.5836714131796374
TCGA-BH-A0W7,-1.5826360314392325
TCGA-C8-A275,-1.54858437192793
TCGA-AC-A2FF,-1.5206031754869727
TCGA-AR-A0TT,-1.520338353177246
TCGA-AO-A0J2,-1.5064889871993807
TCGA-PE-A5DE,-1.5027832927650422
TCGA-D8-A1XW,-1.4971372328774515
TCGA-AQ-A7U7,-1.491499729669642
TCGA-EW-A1IY,-1.4819412690753409
TCGA-BH-A208,-1.4601325675143872
TCGA-GM-A2DN,-1.4541956410717605
TCGA-AC-A3W5,-1.438152515674967
TCGA-E9-A1R3,-1.4274831115996782
TCGA-AC-A2B8,-1.4115817195504503
TCGA-BH-A0BL,-1.4021088007898086
TCGA-D8-A141,-1.3982016962201655
TCGA-AR-A2LQ,-1.3945417877199262
TCGA-AO-A0JE,-1.3872571267120566
TCGA-A2-A3XT,-1.360481097495736
TCGA-XX-A89A,-1.3593675103324285
TCGA-EW-A1IZ,-1.3578369959636982
TCGA-AR-A252,-1.3466540064802843
TCGA-D8-A1Y0,-1.3370561066056066
TCGA-E9-A22E,-1.3337849086946336
TCGA-C8-A1HF,-1.326157736225311
TCGA-E9-A22A,-1.3175038410179039
TCGA-D8-A1JU,-1.3031514527038692
TCGA-AN-A0XW,-1.2924424186183545
TCGA-BH-A1EX,-1.286599884859818
TCGA-AO-A0J8,-1.2779206894608064
TCGA-D8-A1XQ,-1.2760335984818365
TCGA-A8-A07J,-1.2656015192510253
TCGA-E2-A3DX,-1.2579349719903552
TCGA-AR-A2LH,-1.2369327812816642
TCGA-OL-A5RY,-1.2338351761027142
TCGA-A2-A0T6,-1.2297906630293587
TCGA-A8-A096,-1.2270495269981307
TCGA-AC-A3BB,-1.2151348037749685
TCGA-E2-A1II,-1.201118106937242
TCGA-LL-A441,-1.1956615269448103
TCGA-E9-A2JT,-1.185451759569547
TCGA-AR-A24U,-1.1802332010463623
TCGA-A2-A0YK,-1.1753546050452122
TCGA-A7-A13H,-1.1747227656534898
TCGA-C8-A278,-1.1682917415846765
TCGA-BH-A18I,-1.1650100141930602
TCGA-AR-A1AR,-1.1362951905555052
TCGA-BH-A1FH,-1.1216410849278458
TCGA-BH-A0B7,-1.1042654098713394
TCGA-BH-A0BW,-1.0993208899194726
TCGA-E9-A1ND,-1.0919426269006105
TCGA-S3-AA10,-1.0856531005282801
TCGA-BH-A0B9,-1.0556324527262675
TCGA-D8-A27I,-1.052117068973559
TCGA-E9-A1NA,-1.0432947340489647
TCGA-EW-A1P1,-1.0356059657907515
TCGA-A7-A6VY,-1.02795597902864
TCGA-A8-A07U,-1.0275862755421024
TCGA-S3-AA15,-1.021575535174054
TCGA-E2-A1LE,-1.0206446760401313
TCGA-AR-A0U4,-1.0047969707482947
TCGA-AR-A0TX,-1.0017869080984045
TCGA-AO-A0JJ,-0.9988832677064818
TCGA-AR-A1AX,-0.9933126029230206
TCGA-A2-A0SX,-0.991167410698993
TCGA-BH-A202,-0.9862257610188537
TCGA-A1-A0SI,-0.966030078678063
TCGA-EW-A1OV,-0.9654332775167954
TCGA-A2-A3XZ,-0.9644691062694942
TCGA-E9-A1RF,-0.9557581063351075
TCGA-B6-A3ZX,-0.9550973473470158
TCGA-BH-A8G0,-0.9505926924773981
TCGA-AC-A2FE,-0.9462372624422478
TCGA-E2-A10F,-0.9409160924359394
TCGA-A8-A09X,-0.9375432133164379
TCGA-C8-A8HR,-0.9307888361588731
TCGA-BH-A0BZ,-0.9304249827338954
TCGA-E9-A1NE,-0.928608622680027
TCGA-A2-A3XW,-0.9267948360885802
TCGA-BH-A8FZ,-0.9256209281070547
