,Eigen-Patient
COL1A1,-30.134511424508375
COL3A1,-23.84323121206034
COL1A2,-22.15017192000412
FN1,-18.385206590752894
CD74,-18.179519038375947
SPARC,-9.673580320341394
HLA-B,-8.747034398914815
FTL,-8.143854934224255
HLA-DRA,-7.670618695387451
HLA-A,-5.62279322017798
COL6A3,-5.3717138577321215
VIM,-4.873983230779893
C3,-4.653545159618733
POSTN,-4.192638959785944
DCN,-3.7239141470682777
HLA-E,-3.7045991084008243
LUM,-3.6919005536907186
HLA-C,-3.6709641033815594
COL6A2,-3.5028403048715995
LYZ,-3.3047736266257877
FLNA,-3.24010720356024
A2M,-3.076121344051278
COL6A1,-3.0588534967914063
HLA-DPA1,-2.890977559468303
C1S,-2.8902374400010737
HLA-DRB1,-2.545539953960593
BGN,-2.534637163366679
AEBP1,-2.500464143641203
SFRP2,-2.2802985108018596
COL5A2,-2.151873155217085
ERBB2,-1.95460396443891
VCAN,-1.9350101376990478
COL12A1,-1.9238544491209388
STAT1,-1.917321342351067
COL5A1,-1.8953297790103576
TMSB10,-1.886240814427158
LRP1,-1.8218387511760519
SOD2,-1.806609408486538
SERPING1,-1.8049239674137896
MSN,-1.7855830141455515
MXRA5,-1.7853305456232835
FSTL1,-1.7788606532586324
TIMP2,-1.7036680744471546
HLA-DPB1,-1.6963091681811318
GPNMB,-1.6849417225379473
CXCL9,-1.6783193625010349
ENO1,-1.6633657936797681
APOE,-1.6126725139796796
LAPTM5,-1.5927923737809884
IGJ,-1.5795176725570779
MMP14,-1.5314637797079815
THBS2,-1.5052848832125032
C1R,-1.4906736329804742
GSN,-1.4629160532213024
FBN1,-1.457532120734861
TAP1,-1.3401003015526567
LCP1,-1.319463991080445
IFI30,-1.2478076414142911
HLA-DQA1,-1.2156789992601826
KRT5,-1.196142393018897
TAGLN,-1.1233452879319379
CCDC80,-1.1201840381912465
SPP1,-1.0829726688763195
FOS,-1.0514401924475816
TXNIP,-1.044633276609087
EGR1,-1.0418680784012497
SPARCL1,-0.9818333982101062
CALD1,-0.9757016722309927
MMP11,-0.975076945224728
PTRF,-0.9604327796028919
HLA-DRB5,-0.934158248213189
GBP1,-0.9337515686499904
SERPINF1,-0.9203267637101257
HLA-DQB1,-0.9055924214541131
ITGB2,-0.8993134802786662
CYR61,-0.898040260064041
UBD,-0.8796578574712799
FBLN1,-0.8756321644071323
ACTA2,-0.8622489399797004
COL11A1,-0.8336578731370735
S100A6,-0.8189259717344516
S100A11,-0.7975987650397015
IFITM3,-0.7948700632444665
SDC1,-0.7871017122708368
KRT14,-0.7818421492294639
SULF1,-0.7768211802830715
MFGE8,-0.770267569458834
GBP2,-0.7683310629956737
ZFP36L2,-0.7586000957491993
FBLN2,-0.7495582705178744
DPYSL3,-0.7436733084106936
COTL1,-0.7198375694070249
ANXA1,-0.7195269239900519
PTPRC,-0.7053764344782559
VWF,-0.683477736974172
LRRC15,-0.6610093187790992
IFI16,-0.657570343048369
TGFBR2,-0.6558827983628438
SAT1,-0.6525663366774995
CXCL10,-0.65106701143747
ETS1,-0.6460177768253202
FCGR3A,-0.6458690058906438
LGALS1,-0.6393196151078392
CXCL12,-0.6385986806770872
TIMP3,-0.6359427422944883
IL32,-0.612261062315466
COL14A1,-0.6067215025483671
SERPINH1,-0.6023200566668778
SFRP1,-0.6003372067189813
ZFP36,-0.5955936598926487
MYL9,-0.5796135722544123
APOL6,-0.5734375711792037
LTBP2,-0.5509745464579597
FAT1,-0.5501345151301208
THY1,-0.5479607217730229
TGM2,-0.5420088206513972
LGMN,-0.5399225576181587
ASPN,-0.5384139697495557
CDH11,-0.5297699408996301
APOL1,-0.527453194706355
AQP1,-0.5249160447430434
LY6E,-0.5201920423908277
COMP,-0.5145973747713591
HLA-DMB,-0.511909560166908
DUSP1,-0.5089355239129233
HLA-F,-0.5081458477532381
CCL5,-0.5068515727319809
COL18A1,-0.5052108795821757
KCTD12,-0.5045670449814793
KRT17,-0.5036136875635183
SDCBP,-0.5023021621347101
ADAM12,-0.49610224807542713
ICAM1,-0.48441566643183265
CORO1A,-0.4759530004692663
SCPEP1,-0.47543569630247023
CD36,-0.465850030576732
TYMP,-0.46181211642164627
GBP5,-0.46077594244321424
PARP14,-0.45704083235324217
RPS7,-0.4531076730087739
COL10A1,-0.44935419188518094
EMP1,-0.44863527785796836
CD59,-0.44668784414231544
COL15A1,-0.4465592170004642
CX3CL1,-0.440487501343603
IGFBP3,-0.4362358059113075
IRF1,-0.4359553722081068
JUNB,-0.4355402294073289
JUN,-0.4333705192592862
TAP2,-0.42976136924830305
CRISPLD2,-0.42388841562663476
EPAS1,-0.4199893096655408
RNASE1,-0.4128169014942297
APOC1,-0.4121879804870448
PLAU,-0.4059821958301
FNDC1,-0.4055615607054154
CLIC4,-0.4005501657223803
LIPA,-0.39750551564982295
FABP4,-0.39692869248407087
PLS3,-0.39643526004599844
CXCR4,-0.39146482680042644
COL8A1,-0.3909083266624529
KLF6,-0.3907360705434011
GPX3,-0.39056998817940053
CD53,-0.3895010385662668
CALU,-0.38257330493430175
ADAMTS2,-0.38014587847270925
SLFN5,-0.3773904215637506
IL2RG,-0.3771617417075012
LGALS9,-0.37689034087594336
TNS1,-0.3727135318992265
ARHGDIB,-0.3708763226067745
FXYD5,-0.36770746093261797
NNMT,-0.366828815704376
S100A10,-0.36655934522196715
ALDH2,-0.36639546786931854
SIRPA,-0.36500471290836944
PLTP,-0.36398033918638084
TRIM22,-0.3639509977091776
S100A4,-0.3623383074376082
MYLK,-0.3587012753558792
C10orf10,-0.3583843606345318
MPEG1,-0.3563531967633229
HTRA3,-0.35389628441450105
TIMP1,-0.349929635197225
EMILIN1,-0.34276054254161087
NRP1,-0.34237467473498523
CFB,-0.3397903167121101
CTSD,-0.338824841954634
CTHRC1,-0.33868285150297867
CFH,-0.3377211547148648
LGALS3,-0.3346622043902022
HEG1,-0.33369587625364966
F13A1,-0.331382444744229
PLIN4,-0.3252171557286124
CAV1,-0.32231766894353464
FGL2,-0.31953301958282604
ITGB4,-0.31945141057318693
SAMD9L,-0.31602357130575515
PRNP,-0.31562902961728945
PSMB8,-0.31500881854464
TNFRSF1B,-0.31483510750950117
SPOCK2,-0.3135658803701463
ACSL1,-0.3124519492588258
NID1,-0.31123818856731844
TTYH3,-0.3099719535975559
DAB2,-0.30988214308580664
C2,-0.3072055694313287
SOCS3,-0.30552436657024956
RGS1,-0.3040728899382098
FBXO32,-0.30295837306243306
FKBP5,-0.3022986226441003
LAMA4,-0.2989555424494969
ANGPTL2,-0.29486840430004996
MFAP4,-0.29439294265707616
FSCN1,-0.2914518995678824
CRYAB,-0.2904597222482256
OPTN,-0.2870355974211907
ASS1,-0.2867839721415322
MS4A6A,-0.2826836867310817
TYROBP,-0.27888916958584453
PDGFRA,-0.27687147256116085
TCF4,-0.2753009478149353
DST,-0.27283303963570954
CD93,-0.2708487102104889
SUN2,-0.27050909183878596
PTK7,-0.26856438098397584
NLRC5,-0.2680903951037707
FOSB,-0.2676372721600638
TPM2,-0.2673707542526701
PRELP,-0.26574522397057915
OLFML2B,-0.26399476766839086
PTGDS,-0.2604284960572165
ARL4C,-0.2598287569953425
UBE2L6,-0.2597686165654873
PSMB9,-0.2594886515518778
PXDN,-0.2568019330944928
DOCK8,-0.2525502141028406
NCKAP1L,-0.25240122379623925
RAC2,-0.2509244828498153
DPYSL2,-0.2484557690309978
WWTR1,-0.24676511703946274
PSME2,-0.24597356804973386
DPT,-0.24381326562483252
DDR2,-0.24351464308496706
SAA1,-0.24316021202436292
LAMB3,-0.24123527049576413
COL8A2,-0.24119682931257347
SGK1,-0.24107605630738624
RNF213,-0.2410342239499216
CSF1,-0.24078517866359012
SLAMF7,-0.238277440262675
OAS2,-0.23712182480130722
FPR3,-0.23422102302605088
ARHGAP30,-0.23409717009339787
TMEM119,-0.23273118497937628
PODN,-0.23263226869857184
SERPINE1,-0.23025256324304907
GAS6,-0.2295293165662436
CYBA,-0.22771331961879449
EPB41L2,-0.22734718807028645
LAMC2,-0.22693348434094793
NR4A1,-0.22378023895386764
APOL3,-0.22228623105673448
IRAK1,-0.2216436040346044
ITGA11,-0.22055310611108989
STAB1,-0.21989677297443577
FCGR2A,-0.2196755574958485
MSR1,-0.21943120897432045
NBL1,-0.21931268348716768
HIF1A,-0.21714172350561065
ITGAL,-0.21687532568449253
LPL,-0.21574292149040838
MFAP5,-0.214122391176888
ZEB2,-0.21297470738930221
SLAMF8,-0.212473191625148
PLXNC1,-0.2112951324208039
LILRB4,-0.2104236826525452
FCER1G,-0.2089422447719837
GIMAP4,-0.2088330704977826
SYNM,-0.2085353754296573
TACC1,-0.20738339571190967
ITGAV,-0.20637402024945933
GAS7,-0.20614582676539248
AKAP2,-0.2047219159497864
UTRN,-0.203695996242432
TUBB6,-0.2034832557477424
SLIT3,-0.20200232452254707
PLOD1,-0.20131719058481312
YBX3,-0.20109195773817318
RARRES3,-0.2000232666781998
CD3E,-0.19958086476775033
FAP,-0.1995005593990216
PIK3R1,-0.1993109845245201
LCP2,-0.1969314664348094
FNDC3B,-0.19629379752115506
NFIB,-0.1953760300807963
ENPP2,-0.19517165262118738
CELF2,-0.19470838735075527
FMNL1,-0.19365777439092438
UCP2,-0.19163192788788228
PLEKHO1,-0.19144028916659717
PLIN2,-0.19106175551395815
IER2,-0.19032516207962327
ADAMTS1,-0.18866124339067697
INPP5D,-0.1880598107439515
HMCN1,-0.18733788243503544
MCAM,-0.18715905631880342
RBMS1,-0.18596085128381534
IFI44L,-0.18524035124831928
F2R,-0.18426215837985177
IFIT3,-0.18378061106541738
TRIM29,-0.1828569292056109
CD37,-0.18257276903049788
INHBA,-0.1823605715127267
AHR,-0.1822126866316316
FHL1,-0.1814071541546212
EVI2B,-0.1811588541747559
SELPLG,-0.1809874834741877
IFIH1,-0.18043695753276104
ACSL4,-0.17891072174949776
NCOA7,-0.17872201732675339
SH3KBP1,-0.17819106653186942
CD2,-0.17610110960556866
MYCBP2,-0.17548323531940016
RNF145,-0.17515604348316938
HLA-DQA2,-0.17414974619299597
ABI3BP,-0.17398596357669094
FYB,-0.17331244741328675
SLC15A3,-0.17315787302749897
RARRES2,-0.1723313950607112
EFEMP1,-0.17181701785500528
FERMT3,-0.17100665709307436
LAIR1,-0.1707141018941634
PPAP2B,-0.1699905277358879
C10orf54,-0.16866100315797314
IL1R1,-0.16828511480856423
VOPP1,-0.16749251763625933
ATF3,-0.1673989890034276
CD248,-0.16661055518247742
GREM1,-0.16536557674915386
SLC2A3,-0.16461071747726969
PSMB10,-0.16239848932952905
SERPINE2,-0.16068049604697643
PIM2,-0.16035760436565913
EFHD2,-0.15983022453332502
ATP2B4,-0.15933354580178646
CSRP1,-0.1582519999559305
RPS6KA3,-0.15789703273548697
