,Proliferation,,,
TCGA-C8-A27A,0.160497267,,,
TCGA-AR-A0TW,-0.021204018,,,
TCGA-A1-A0SH,-0.404387707,,,
TCGA-A2-A0EW,-0.45308645,,,
TCGA-GM-A2DN,-0.263781069,,,
TCGA-BH-A1FL,0.039318138,,,
TCGA-C8-A1HO,0.033086566,,,
TCGA-OL-A5RX,-0.50177851,,,
TCGA-A8-A09T,-0.34782642,,,
TCGA-AR-A24Z,0.147429001,,,
TCGA-A7-A26I,-0.444670877,,,
TCGA-AC-A5XU,-0.176848676,,,
TCGA-BH-A1FN,-0.049287233,,,
TCGA-C8-A12K,0.09063303,,,
TCGA-D8-A1XW,-0.168188295,,,
TCGA-E2-A14Z,-0.214435869,,,
TCGA-AN-A0AT,0.130082845,,,
TCGA-3C-AALI,-0.189082038,,,
TCGA-AC-A3HN,-0.39084323,,,
TCGA-AR-A1AW,-0.04822905,,,
TCGA-B6-A3ZX,-0.129327556,,,
TCGA-LL-A740,-0.311677488,,,
TCGA-E9-A1NC,-0.313134441,,,
TCGA-OL-A5D6,-0.473510914,,,
TCGA-C8-A1HG,-0.233389616,,,
TCGA-BH-A0B0,-0.459844768,,,
TCGA-E2-A15M,0.140157031,,,
TCGA-AO-A0J7,0.056012714,,,
TCGA-AR-A252,-0.180467447,,,
TCGA-E2-A15I,-0.386670922,,,
TCGA-AR-A0TX,-0.169494468,,,
TCGA-A7-A3IZ,-0.013588924,,,
TCGA-B6-A0X4,-0.441968359,,,
TCGA-E9-A1N5,-0.338254695,,,
TCGA-AR-A2LM,-0.361024223,,,
TCGA-AR-A1AU,-0.255117411,,,
TCGA-E2-A156,-0.367770342,,,
TCGA-B6-A0WT,-0.33418768,,,
TCGA-D8-A1J9,-0.006890554,,,
TCGA-E2-A1B0,0.216822023,,,
TCGA-AC-A2QH,0.005120687,,,
TCGA-AR-A5QQ,-0.051466705,,,
TCGA-BH-A28O,-0.496983081,,,
TCGA-D8-A27N,-0.10776922,,,
TCGA-B6-A0I9,0.101711742,,,
TCGA-A2-A04R,0.114614535,,,
TCGA-C8-A27B,0.184253586,,,
TCGA-BH-A0BJ,-0.381787119,,,
TCGA-AR-A1AS,-0.067655379,,,
TCGA-E9-A22B,-0.174617513,,,
TCGA-A1-A0SK,0.133093284,,,
TCGA-AR-A24M,-0.04846939,,,
TCGA-BH-A201,-0.161306493,,,
TCGA-OL-A66H,-0.316226229,,,
TCGA-D8-A1XO,-0.233817742,,,
TCGA-AR-A1AR,0.179611158,,,
TCGA-AO-A0J2,0.098398896,,,
TCGA-E2-A1IL,-0.464459445,,,
TCGA-C8-A135,-0.086608265,,,
TCGA-A2-A0CZ,-0.540305904,,,
TCGA-BH-A1EX,-0.145926214,,,
TCGA-D8-A1X5,-0.254190855,,,
TCGA-D8-A4Z1,-0.534340097,,,
TCGA-D8-A1JG,0.112847395,,,
TCGA-OL-A5DA,-0.400109976,,,
TCGA-EW-A1P7,-0.399007873,,,
TCGA-A2-A259,-0.367053829,,,
TCGA-A7-A4SE,-0.193826373,,,
TCGA-BH-A2L8,-0.373441903,,,
TCGA-A8-A06U,-0.02458781,,,
TCGA-BH-A0BW,-0.011336297,,,
TCGA-BH-A0EI,-0.29150285,,,
TCGA-D8-A1JE,0.004529465,,,
TCGA-A8-A08J,-0.046488708,,,
TCGA-AO-A03L,0.091268412,,,
TCGA-D8-A1Y0,0.113468631,,,
TCGA-AR-A1AY,0.141046406,,,
TCGA-A8-A09N,-0.003093549,,,
TCGA-E9-A1N3,-0.047777369,,,
TCGA-A1-A0SE,-0.149381195,,,
TCGA-S3-AA0Z,0.098010393,,,
TCGA-E2-A109,0.092929928,,,
TCGA-A2-A0T1,-0.216112752,,,
TCGA-D8-A1X7,0.042692912,,,
TCGA-AN-A0XO,-0.099573459,,,
TCGA-A2-A0SU,-0.252813157,,,
TCGA-AN-A0XL,-0.271913089,,,
TCGA-B6-A0WS,-0.223784096,,,
TCGA-A2-A0YT,0.147413363,,,
TCGA-A8-A08B,-0.264736729,,,
TCGA-A8-A07F,0.012007269,,,
TCGA-A7-A3J0,-0.164031344,,,
TCGA-AR-A254,0.049882437,,,
TCGA-B6-A0RE,0.056289215,,,
TCGA-AQ-A04L,-0.188622723,,,
TCGA-A7-A2KD,0.052336405,,,
TCGA-AN-A0FJ,-0.070381703,,,
TCGA-BH-A0DX,-0.261879405,,,
TCGA-E9-A3Q9,-0.448821115,,,
TCGA-E9-A228,0.153728171,,,
TCGA-A8-A07I,-0.017348763,,,
TCGA-A8-A086,-0.093202513,,,
TCGA-AC-A3W6,-0.395734735,,,
TCGA-BH-A203,0.073268073,,,
TCGA-D8-A1JJ,0.114416956,,,
TCGA-XX-A89A,-0.449180489,,,
