,Proliferation
TCGA-5M-AAT4,0.002528122
TCGA-5M-AAT5,-0.008415206
TCGA-A6-5656,-0.323983157
TCGA-AA-A02Y,-0.21048373
TCGA-AZ-6603,-0.072168098
TCGA-G4-6306,-0.409075956
TCGA-F4-6570,-0.196778464
TCGA-A6-6142,-0.453768542
TCGA-CA-5797,0.029822986
TCGA-A6-A5ZU,-0.558588696
TCGA-AZ-6598,-0.051781073
TCGA-AM-5821,0.082088502
TCGA-AD-6964,-0.426668548
TCGA-DM-A28H,0.168083742
TCGA-4T-AA8H,-0.385292694
TCGA-A6-6137,-0.41919864
TCGA-A6-2675,-0.524946281
TCGA-AD-A5EJ,0.104012925
TCGA-F4-6854,0.019063837
TCGA-AY-A54L,0.061598645
TCGA-G4-6311,-0.209787441
TCGA-AU-6004,-0.113440316
TCGA-D5-6930,-0.176784797
TCGA-CK-5913,0.108748539
TCGA-A6-5659,0.101276182
TCGA-CM-5349,-0.303874957
TCGA-AZ-4682,-0.094597721
TCGA-DM-A1D8,0.079274441
TCGA-DM-A288,-0.045158544
TCGA-AA-3712,0.040356044
TCGA-AZ-6606,0.072001341
TCGA-AD-6901,-0.491991134
TCGA-CA-6715,0.074835637
TCGA-CK-5914,0.177350897
TCGA-A6-A566,-0.398587677
TCGA-D5-6532,0.086986231
TCGA-AD-6889,-0.070447188
TCGA-A6-6648,0.220928775
TCGA-D5-5537,-0.39620225
TCGA-DM-A28M,0.07194113
TCGA-AA-3697,-0.253724732
TCGA-CM-6675,0.080754291
TCGA-F4-6807,-0.336399867
TCGA-A6-6140,0.028398069
TCGA-D5-6932,-0.243075316
TCGA-CA-6719,-0.274096702
TCGA-CK-6746,0.116893047
TCGA-CM-5864,-0.293175757
TCGA-AD-6548,0.097675257
TCGA-D5-6536,-0.378446883
TCGA-F4-6808,-0.333569534
TCGA-G4-6304,-0.412658933
TCGA-CM-4747,-0.341952794
TCGA-AZ-4315,0.035548978
TCGA-WS-AB45,-0.227210276
TCGA-AA-3489,-0.252336134
TCGA-G4-6314,-0.165655361
TCGA-CA-6716,-0.347120642
TCGA-G4-6294,-0.137933891
TCGA-QL-A97D,0.074791835
TCGA-G4-6298,-0.281454054
TCGA-D5-6540,0.047783456
TCGA-DM-A1D9,0.160149628
TCGA-A6-A567,-0.457706962
TCGA-DM-A1DA,0.152785517
TCGA-NH-A6GC,-0.477182798
TCGA-AD-6890,-0.246820914
TCGA-CA-5796,-0.4688542
TCGA-CA-5255,-0.360593679
TCGA-G4-6293,-0.489110427
TCGA-CM-5860,-0.253256182
TCGA-A6-2677,0.040241771
TCGA-G4-6322,-0.079734705
TCGA-CM-6678,-0.307655383
TCGA-F4-6806,-0.555090895
TCGA-DM-A28A,0.030879246
TCGA-CM-6170,-0.151314739
TCGA-DM-A1D6,0.170954881
TCGA-D5-6928,-0.188749403
TCGA-CK-4947,0.015339326
TCGA-CM-5868,0.148633744
TCGA-G4-6627,-0.451589369
TCGA-D5-6922,-0.00221944
TCGA-CM-6677,-0.207708659
TCGA-AA-3495,-0.234704501
TCGA-DM-A1HB,0.104859224
TCGA-CM-5863,-0.492594891
TCGA-AZ-6607,-0.411627154
TCGA-A6-4105,-0.062574428
TCGA-F4-6809,-0.421774472
TCGA-DM-A28G,-0.325461408
TCGA-AY-6197,0.029592066
TCGA-AY-5543,0.071956318
TCGA-NH-A8F8,-0.437446547
TCGA-DM-A28E,0.039209119
TCGA-CK-6748,-0.408433589
TCGA-NH-A50V,-0.382166302
TCGA-F4-6460,-0.405948735
TCGA-AA-3526,-0.088351796
TCGA-A6-6781,-0.227963449
TCGA-AD-5900,-0.204835823
TCGA-NH-A5IV,-0.009869664
TCGA-AZ-6608,0.122861918
TCGA-AA-3685,-0.195539846
TCGA-A6-2684,-0.200782762
TCGA-DM-A0X9,0.180100175
TCGA-AZ-6601,0.087332178
TCGA-G4-6297,-0.279739198
TCGA-CM-6674,-0.246000378
TCGA-CM-4751,-0.254072116
TCGA-CK-4952,0.224162728
TCGA-AZ-5403,-0.204950647
TCGA-AZ-4313,0.074229318
TCGA-AZ-4323,-0.31196209
TCGA-D5-6534,-0.42727635
TCGA-CA-6718,0.126103174
TCGA-F4-6459,-0.337967671
TCGA-5M-AATA,-0.154679336
TCGA-A6-6650,0.151491818
TCGA-AA-3509,-0.169859897
TCGA-NH-A50U,0.140161138
TCGA-QG-A5YW,-0.31968182
TCGA-A6-2685,-0.483105213
TCGA-QG-A5YV,0.16520933
TCGA-D5-6533,-0.004499395
TCGA-AA-3660,-0.061090967
TCGA-AD-6888,-0.159379492
TCGA-CM-6680,-0.396530641
