,Stemness
TCGA-5M-AAT4,-0.09583276
TCGA-5M-AAT5,-0.024159812
TCGA-A6-5656,-0.434752416
TCGA-AA-A02Y,-0.180140623
TCGA-AZ-6603,0.030700182
TCGA-G4-6306,-0.515183497
TCGA-F4-6570,-0.064198259
TCGA-A6-6142,-0.378835799
TCGA-CA-5797,0.157183516
TCGA-A6-A5ZU,-0.504390116
TCGA-AZ-6598,0.02270928
TCGA-AM-5821,0.453141226
TCGA-AD-6964,-0.067922884
TCGA-DM-A28H,0.220652764
TCGA-4T-AA8H,-0.502016805
TCGA-A6-6137,-0.395643215
TCGA-A6-2675,-0.328265178
TCGA-AD-A5EJ,0.150123073
TCGA-F4-6854,0.03720128
TCGA-AY-A54L,-0.067511397
TCGA-G4-6311,-0.277690283
TCGA-AU-6004,0.171640132
TCGA-D5-6930,0.014165794
TCGA-CK-5913,0.326392072
TCGA-A6-5659,0.327044132
TCGA-CM-5349,-0.043093241
TCGA-AZ-4682,0.096189195
TCGA-DM-A1D8,-0.14067487
TCGA-DM-A288,-0.315235139
TCGA-AA-3712,0.097164213
TCGA-AZ-6606,0.061436192
TCGA-AD-6901,-0.392497954
TCGA-CA-6715,0.162866507
TCGA-CK-5914,0.440778699
TCGA-A6-A566,0.08571983
TCGA-D5-6532,0.058684488
TCGA-AD-6889,-0.191603766
TCGA-A6-6648,0.348544972
TCGA-D5-5537,-0.292421983
TCGA-DM-A28M,0.05380734
TCGA-AA-3697,-0.263256264
TCGA-CM-6675,-0.058642558
TCGA-F4-6807,0.018740194
TCGA-A6-6140,-0.101944281
TCGA-D5-6932,-0.267146267
TCGA-CA-6719,-0.089866606
TCGA-CK-6746,0.124229925
TCGA-CM-5864,-0.071729837
TCGA-AD-6548,0.339868693
TCGA-D5-6536,-0.268877489
TCGA-F4-6808,-0.291396822
TCGA-G4-6304,-0.36930735
TCGA-CM-4747,-0.353006232
TCGA-AZ-4315,0.319661146
TCGA-WS-AB45,0.20782724
TCGA-AA-3489,0.152476326
TCGA-G4-6314,0.085632268
TCGA-CA-6716,-0.25565972
TCGA-G4-6294,-0.111194885
TCGA-QL-A97D,-0.054760307
TCGA-G4-6298,-0.29080643
TCGA-D5-6540,-0.16542606
TCGA-DM-A1D9,0.069069983
TCGA-A6-A567,-0.379114501
TCGA-DM-A1DA,0.144988536
TCGA-NH-A6GC,-0.462566935
TCGA-AD-6890,-0.182694233
TCGA-CA-5796,-0.273697369
TCGA-CA-5255,-0.33776987
TCGA-G4-6293,-0.326358098
TCGA-CM-5860,0.211996384
TCGA-A6-2677,0.35164805
TCGA-G4-6322,0.009893153
TCGA-CM-6678,-0.229108866
TCGA-F4-6806,-0.418387316
TCGA-DM-A28A,-0.019253012
TCGA-CM-6170,-0.078058161
TCGA-DM-A1D6,0.106636911
TCGA-D5-6928,-0.039190024
TCGA-CK-4947,0.359063448
TCGA-CM-5868,0.193196964
TCGA-G4-6627,-0.272592757
TCGA-D5-6922,-0.166405596
TCGA-CM-6677,0.052696882
TCGA-AA-3495,-0.136265695
TCGA-DM-A1HB,0.109033225
TCGA-CM-5863,-0.438156962
TCGA-AZ-6607,-0.163430275
TCGA-A6-4105,0.259746612
TCGA-F4-6809,-0.302946269
TCGA-DM-A28G,-0.177962441
TCGA-AY-6197,-0.133768415
TCGA-AY-5543,0.248064952
TCGA-NH-A8F8,-0.362479693
TCGA-DM-A28E,-0.148725978
TCGA-CK-6748,-0.198678106
TCGA-NH-A50V,-0.334657487
TCGA-F4-6460,-0.351610596
TCGA-AA-3526,0.351751818
TCGA-A6-6781,0.169150756
TCGA-AD-5900,0.016666075
TCGA-NH-A5IV,-0.129817069
TCGA-AZ-6608,0.042564739
TCGA-AA-3685,0.294606147
TCGA-A6-2684,0.24338917
TCGA-DM-A0X9,0.276278946
TCGA-AZ-6601,0.26370686
TCGA-G4-6297,-0.289777801
TCGA-CM-6674,-0.053146537
TCGA-CM-4751,-0.240370144
TCGA-CK-4952,0.252172891
TCGA-AZ-5403,0.100308221
TCGA-AZ-4313,0.158500678
TCGA-AZ-4323,-0.11721064
TCGA-D5-6534,-0.210189224
TCGA-CA-6718,0.446166244
TCGA-F4-6459,-0.205413823
TCGA-5M-AATA,0.034602802
TCGA-A6-6650,-5.61E-05
TCGA-AA-3509,0.127811138
TCGA-NH-A50U,-0.086465751
TCGA-QG-A5YW,-0.070328281
TCGA-A6-2685,-0.392685585
TCGA-QG-A5YV,0.050720391
TCGA-D5-6533,0.095406976
TCGA-AA-3660,-0.150978328
TCGA-AD-6888,-0.224306213
TCGA-CM-6680,-0.258409048
TCGA-AA-3511,-0.335622913
TCGA-DM-A28C,-0.310751821
TCGA-F4-6856,-0.343376914
TCGA-A6-5662,-0.156609339
TCGA-G4-6588,0.237804146
TCGA-AA-3496,-0.116483747
TCGA-D5-5539,-0.082823366
TCGA-AA-A02K,-0.273378286
TCGA-D5-6530,-0.21437102
TCGA-CK-5912,-0.008555571
TCGA-AZ-4684,-0.041727242
TCGA-AZ-6599,-0.33733892
TCGA-D5-6926,-0.225802576
TCGA-AA-3492,0.195634314
TCGA-G4-6625,-0.071015902
TCGA-CM-6168,0.278203367
TCGA-A6-2682,-0.116533972
TCGA-A6-6138,0.115261434
TCGA-5M-AAT6,0.062358856
TCGA-F4-6805,0.096030221
TCGA-CK-5916,0.367827914
TCGA-A6-6652,-0.284190735
TCGA-AZ-4614,-0.239070103
TCGA-AY-6196,-0.273733129
TCGA-5M-AATE,-0.339176217
TCGA-F4-6463,0.012969519
TCGA-D5-6898,0.152256559
TCGA-DM-A0XF,0.290123169
TCGA-T9-A92H,-0.031998698
TCGA-CK-6751,0.233827229
TCGA-DM-A285,-0.040371927
TCGA-AD-6965,-0.014124657
TCGA-F4-6461,-0.268104145
TCGA-CM-6679,-0.317207414
TCGA-A6-6782,-0.119872976
TCGA-AA-A01X,-0.29116957
TCGA-CM-6676,-0.172745163
TCGA-D5-6539,-0.218858796
TCGA-G4-6302,-0.245711499
TCGA-A6-3810,-0.198400995
TCGA-AY-A69D,0.144494239
TCGA-D5-6923,0.229836514
TCGA-G4-6586,-0.218116423
TCGA-AU-3779,-0.132730731
TCGA-D5-6541,0.119249119
TCGA-NH-A6GA,-0.245412612
TCGA-CK-4950,0.191298471
TCGA-AA-3713,-0.054303915
TCGA-AD-6963,0.110578901
TCGA-CM-6162,0.202332009
TCGA-AD-6895,-0.153388065
TCGA-F4-6855,-0.194346186
TCGA-AA-3506,-0.288295588
TCGA-D5-6529,0.014098585
TCGA-AD-A5EK,-0.064523884
TCGA-AA-3655,-0.003934014
TCGA-A6-5660,0.05783401
TCGA-3L-AA1B,-0.380644742
TCGA-CM-6171,-0.095819115
TCGA-D5-5540,0.463627836
TCGA-A6-5661,-0.047994126
TCGA-CK-5915,0.195570503
TCGA-D5-6538,-0.102924587
TCGA-A6-2674,0.195596679
TCGA-G4-6309,0.084330167
TCGA-CK-4951,0.126289262
TCGA-CA-5256,0.277462874
TCGA-AZ-5407,-0.141120206
TCGA-G4-6626,0.055699972
TCGA-A6-A565,-0.228988874
TCGA-SS-A7HO,0.065273569
TCGA-CM-5861,-0.303305476
TCGA-D5-6931,0.197018174
TCGA-AZ-6600,-0.099568094
TCGA-NH-A50T,0.26008081
TCGA-D5-7000,0.094638253
TCGA-A6-5664,0.111065445
TCGA-AA-3675,0.169228449
TCGA-G4-6295,0.18975774
TCGA-A6-2686,-0.098925737
TCGA-A6-3809,0.516955375
TCGA-AZ-4615,0.185395575
TCGA-DM-A1DB,0.154967331
TCGA-D5-5541,0.354374668
TCGA-CM-6166,0.178037817
TCGA-G4-6323,-0.365039487
TCGA-DM-A28F,-0.163989006
TCGA-G4-6299,-0.052095971
TCGA-D5-6537,0.192782248
TCGA-AZ-6605,-0.100193306
TCGA-G4-6303,-0.050395316
TCGA-A6-6654,-0.125681764
TCGA-AA-A01P,0.077798895
TCGA-A6-6653,-0.011168539
TCGA-AM-5820,0.161042326
TCGA-A6-6651,-0.001457717
TCGA-QG-A5Z2,-0.046996186
TCGA-D5-5538,0.096215193
TCGA-A6-5666,0.246560683
TCGA-G4-6310,-0.46072415
TCGA-AA-3662,-0.22232823
TCGA-CM-6163,0.063125221
TCGA-AD-6899,0.068978369
TCGA-CK-6747,0.273316874
TCGA-CM-5862,-0.123913767
TCGA-CA-5254,-0.019639824
TCGA-AA-A01Z,-0.222441269
TCGA-D5-6924,-0.016128478
TCGA-DM-A28K,-0.066917569
TCGA-QG-A5YX,-0.069537979
TCGA-AA-3663,0.172523092
TCGA-A6-A56B,-0.34261536
TCGA-CM-5348,-0.366883426
TCGA-G4-6321,-0.499287936
TCGA-A6-6780,0.289226096
TCGA-CM-6164,-0.10402302
TCGA-CM-6161,0.320204632
TCGA-A6-5657,0.229582532
TCGA-RU-A8FL,-0.112624968
TCGA-NH-A8F7,-0.304741738
TCGA-AY-A8YK,-0.407213382
TCGA-F4-6569,0.037125199
TCGA-CK-4948,0.245035029
TCGA-G4-6315,0.1110448
TCGA-AY-A71X,-0.384521307
TCGA-D5-6535,-0.253035392
TCGA-CM-4744,0.117357869
TCGA-D5-6929,-0.015793712
TCGA-CM-6169,-0.186561763
TCGA-G4-6307,-0.286198013
TCGA-F4-6704,0.172082345
TCGA-CM-6167,-0.165053461
TCGA-CM-5344,-0.078731074
TCGA-AY-6386,-0.000115136
TCGA-DM-A1HA,-0.247274211
TCGA-NH-A6GB,-0.254269685
TCGA-D5-6920,0.000574729
TCGA-F4-6703,0.135217277
TCGA-DM-A1D0,-0.10290276
TCGA-D5-6531,0.109036613
TCGA-AA-3502,-0.162127991
TCGA-A6-6141,-0.323489199
TCGA-G4-6628,0.337325258
TCGA-A6-5665,0.288736905
TCGA-A6-6649,-0.143936299
TCGA-D5-6927,0.158608965
TCGA-QG-A5Z1,-0.238961952
TCGA-CM-6172,0.02684161
TCGA-CA-6717,0.250818146
TCGA-CM-6165,0.109523445
TCGA-A6-5667,-0.034282635
