,Tumor purity
TCGA-3L-AA1B,0.7913
TCGA-4T-AA8H,0.8917
TCGA-5M-AAT4,0.8372
TCGA-5M-AAT5,0.817
TCGA-5M-AAT6,0.6712
TCGA-5M-AATA,0.8795
TCGA-5M-AATE,0.8443
TCGA-A6-2674,0.551
TCGA-A6-2675,0.6193
TCGA-A6-2677,0.8869
TCGA-A6-2682,0.7927
TCGA-A6-2684,0.725
TCGA-A6-2685,0.6328
TCGA-A6-2686,0.6683
TCGA-A6-3809,0.6996
TCGA-A6-3810,0.759
TCGA-A6-4105,0.7533
TCGA-A6-5656,0.7
TCGA-A6-5657,0.647
TCGA-A6-5659,0.8
TCGA-A6-5660,0.8604
TCGA-A6-5661,0.7771
TCGA-A6-5662,0.9569
TCGA-A6-5664,0.6426
TCGA-A6-5665,0.8448
TCGA-A6-5666,0.8924
TCGA-A6-5667,0.8666
TCGA-A6-6137,0.6883
TCGA-A6-6138,0.7069
TCGA-A6-6140,0.8851
TCGA-A6-6141,0.7243
TCGA-A6-6142,0.6378
TCGA-A6-6648,0.7204
TCGA-A6-6649,0.7857
TCGA-A6-6650,0.775
TCGA-A6-6651,0.606
TCGA-A6-6652,0.9147
TCGA-A6-6653,0.826
TCGA-A6-6654,0.5196
TCGA-A6-6780,0.8
TCGA-A6-6781,0.7
TCGA-A6-6782,0.6936
TCGA-A6-A565,0.5864
TCGA-A6-A566,0.5854
TCGA-A6-A567,0.8594
TCGA-A6-A56B,0.8971
TCGA-A6-A5ZU,0.7049
TCGA-AA-3489,0.4634
TCGA-AA-3492,0.8306
TCGA-AA-3495,0.7841
TCGA-AA-3496,0.7004
TCGA-AA-3502,0.8398
TCGA-AA-3506,0.7979
TCGA-AA-3509,0.8674
TCGA-AA-3511,0.7517
TCGA-AA-3526,0.8233
TCGA-AA-3655,0.841
TCGA-AA-3660,0.893
TCGA-AA-3662,0.8008
TCGA-AA-3663,0.8893
TCGA-AA-3675,0.8835
TCGA-AA-3685,0.7318
TCGA-AA-3697,0.8171
TCGA-AA-3712,0.7887
TCGA-AA-3713,0.7508
TCGA-AA-A01P,0.6147
TCGA-AA-A01X,0.836
TCGA-AA-A01Z,0.9404
TCGA-AA-A02K,0.8739
TCGA-AA-A02Y,0.8835
TCGA-AD-5900,0.7192
TCGA-AD-6548,0.6725
TCGA-AD-6888,0.7802
TCGA-AD-6889,0.8713
TCGA-AD-6890,0.7392
TCGA-AD-6895,0.7422
TCGA-AD-6899,0.7507
TCGA-AD-6901,0.7059
TCGA-AD-6963,0.6548
TCGA-AD-6964,0.6854
TCGA-AD-6965,0.8692
TCGA-AD-A5EJ,0.7913
TCGA-AD-A5EK,0.9682
TCGA-AM-5820,0.8495
TCGA-AM-5821,0.6289
TCGA-AU-3779,0.7508
TCGA-AU-6004,0.6553
TCGA-AY-5543,0.8266
TCGA-AY-6196,0.5077
TCGA-AY-6197,0.8412
TCGA-AY-6386,0.8266
TCGA-AY-A54L,0.836
TCGA-AY-A69D,0.751
TCGA-AY-A71X,0.8424
TCGA-AY-A8YK,0.9395
TCGA-AZ-4313,0.746
TCGA-AZ-4315,0.79
TCGA-AZ-4323,0.4687
TCGA-AZ-4614,0.9149
TCGA-AZ-4615,0.7509
TCGA-AZ-4682,0.8671
TCGA-AZ-4684,0.729
TCGA-AZ-5403,0.7542
TCGA-AZ-5407,0.8533
TCGA-AZ-6598,0.8718
TCGA-AZ-6599,0.7203
TCGA-AZ-6600,0.7366
TCGA-AZ-6601,0.5991
TCGA-AZ-6603,0.7362
TCGA-AZ-6605,0.6114
TCGA-AZ-6606,0.8824
TCGA-AZ-6607,0.6945
TCGA-AZ-6608,0.9534
TCGA-CA-5254,0.7914
TCGA-CA-5255,0.6927
TCGA-CA-5256,0.8469
TCGA-CA-5796,0.9105
TCGA-CA-5797,0.8122
TCGA-CA-6715,0.9473
TCGA-CA-6716,0.8988
TCGA-CA-6717,0.6109
TCGA-CA-6718,0.6664
TCGA-CA-6719,0.7307
TCGA-CK-4947,0.7223
TCGA-CK-4948,0.6854
TCGA-CK-4950,0.6376
TCGA-CK-4951,0.6729
TCGA-CK-4952,0.8372
TCGA-CK-5912,0.9025
TCGA-CK-5913,0.7758
TCGA-CK-5914,0.8818
TCGA-CK-5915,0.9667
TCGA-CK-5916,0.7022
TCGA-CK-6746,0.829
TCGA-CK-6747,0.851
TCGA-CK-6748,0.8676
TCGA-CK-6751,0.7702
TCGA-CM-4744,0.7982
TCGA-CM-4747,0.7833
TCGA-CM-4751,0.6852
