,Stemness,,,,,,,,,
TCGA-55-7816,0.061975972,,,,,,,,,
TCGA-55-7911,0.203676924,,,,,,,,,
TCGA-73-4676,0.271096063,,,,,,,,,
TCGA-49-6745,0.419007997,,,,,,,,,
TCGA-05-5425,0.317951118,,,,,,,,,
TCGA-86-7955,-0.002551074,,,,,,,,,
TCGA-78-7167,-0.390140205,,,,,,,,,
TCGA-L9-A7SV,-0.187369161,,,,,,,,,
TCGA-78-7154,0.258831299,,,,,,,,,
TCGA-78-7158,-0.045339701,,,,,,,,,
TCGA-44-4112,0.226612602,,,,,,,,,
TCGA-44-7659,-0.45104635,,,,,,,,,
TCGA-80-5611,0.214517921,,,,,,,,,
TCGA-55-8205,0.455110873,,,,,,,,,
TCGA-44-6146,-0.323786254,,,,,,,,,
TCGA-05-4397,0.299258536,,,,,,,,,
TCGA-99-8033,0.22794013,,,,,,,,,
TCGA-49-AAR9,0.01082105,,,,,,,,,
TCGA-55-7727,0.083801097,,,,,,,,,
TCGA-55-7913,-0.007787546,,,,,,,,,
TCGA-67-3774,-0.338061464,,,,,,,,,
TCGA-55-6970,0.353832451,,,,,,,,,
TCGA-86-6562,-0.088370615,,,,,,,,,
TCGA-55-8621,-0.318197244,,,,,,,,,
TCGA-95-7947,0.096599139,,,,,,,,,
TCGA-55-8208,0.278316374,,,,,,,,,
TCGA-73-4670,0.23345234,,,,,,,,,
TCGA-86-8281,-0.367011019,,,,,,,,,
TCGA-69-7979,-0.089954283,,,,,,,,,
TCGA-62-A46U,0.197115494,,,,,,,,,
TCGA-05-4403,0.00547837,,,,,,,,,
TCGA-64-1679,0.288613159,,,,,,,,,
TCGA-55-8507,-0.230171718,,,,,,,,,
TCGA-05-4382,0.134276702,,,,,,,,,
TCGA-50-5930,-0.226395145,,,,,,,,,
TCGA-78-7143,0.082305413,,,,,,,,,
TCGA-86-7713,0.118802046,,,,,,,,,
TCGA-91-6849,-0.505724437,,,,,,,,,
TCGA-86-8278,0.021552285,,,,,,,,,
TCGA-86-8359,-0.199830744,,,,,,,,,
TCGA-78-7536,0.315745386,,,,,,,,,
TCGA-55-8614,-0.188923267,,,,,,,,,
TCGA-64-5781,0.015695704,,,,,,,,,
TCGA-J2-8192,0.013260194,,,,,,,,,
TCGA-62-8394,0.09279524,,,,,,,,,
TCGA-55-7283,0.00638826,,,,,,,,,
TCGA-97-7553,0.063561955,,,,,,,,,
TCGA-05-5429,-0.070322019,,,,,,,,,
TCGA-05-4395,0.2129441,,,,,,,,,
TCGA-86-8669,-0.393686927,,,,,,,,,
TCGA-64-5815,-0.165748972,,,,,,,,,
TCGA-05-4389,0.205122205,,,,,,,,,
TCGA-97-8179,-0.214784034,,,,,,,,,
TCGA-55-8510,-0.292198238,,,,,,,,,
TCGA-50-5068,0.189685979,,,,,,,,,
TCGA-86-8672,0.051496636,,,,,,,,,
TCGA-05-4396,-0.319900873,,,,,,,,,
TCGA-71-6725,-0.243036655,,,,,,,,,
TCGA-38-4625,-0.373775625,,,,,,,,,
TCGA-64-5775,0.439872193,,,,,,,,,
TCGA-55-6986,-0.138141339,,,,,,,,,
TCGA-69-8453,-0.246939681,,,,,,,,,
TCGA-97-8552,-0.494358517,,,,,,,,,
TCGA-91-6847,0.221976048,,,,,,,,,
TCGA-93-A4JP,-0.225231219,,,,,,,,,
TCGA-49-4486,-0.285510487,,,,,,,,,
TCGA-71-8520,-0.210750233,,,,,,,,,
TCGA-69-7760,0.03834041,,,,,,,,,
TCGA-35-4122,0.388716852,,,,,,,,,
TCGA-49-4505,-0.139541551,,,,,,,,,
TCGA-78-7146,0.335397238,,,,,,,,,
TCGA-97-8174,-0.259072027,,,,,,,,,
TCGA-93-A4JQ,-0.123624326,,,,,,,,,
TCGA-NJ-A4YQ,-0.22766781,,,,,,,,,
TCGA-44-2656,0.276061605,,,,,,,,,
TCGA-44-A47B,-0.148745672,,,,,,,,,
TCGA-L9-A8F4,-0.101029172,,,,,,,,,
TCGA-55-8302,-0.231218098,,,,,,,,,
TCGA-55-8094,-0.06105991,,,,,,,,,
TCGA-44-7671,-0.194946518,,,,,,,,,
TCGA-86-8585,-0.212624788,,,,,,,,,
TCGA-NJ-A55R,-0.309138472,,,,,,,,,
TCGA-55-7903,0.036437723,,,,,,,,,
TCGA-78-7542,0.290997789,,,,,,,,,
TCGA-05-4432,0.028305409,,,,,,,,,
TCGA-44-8117,-0.038666558,,,,,,,,,
TCGA-55-6972,-0.384935604,,,,,,,,,
TCGA-78-8648,0.025688463,,,,,,,,,
TCGA-67-3771,-0.000807482,,,,,,,,,
TCGA-55-8512,-0.554191491,,,,,,,,,
TCGA-44-5645,-0.065617153,,,,,,,,,
TCGA-75-6203,-0.238635298,,,,,,,,,
TCGA-86-8075,0.291251569,,,,,,,,,
TCGA-78-7148,-0.050618589,,,,,,,,,
TCGA-MP-A4TA,0.015419039,,,,,,,,,
TCGA-44-5644,-0.200040938,,,,,,,,,
TCGA-50-5051,-0.355972141,,,,,,,,,
TCGA-49-6744,0.147673192,,,,,,,,,
TCGA-50-6595,0.37726992,,,,,,,,,
TCGA-L9-A50W,-0.452641855,,,,,,,,,
TCGA-55-8616,-0.46039415,,,,,,,,,
TCGA-NJ-A4YG,-0.355185753,,,,,,,,,
